ID County,County,ID Year,Year,Completions Growth,Slug County,CIP,ID CIP,Slug CIP
"05000US02020","Anchorage Municipality, AK",2019,"2019",-0.6666666666666666,"anchorage-municipality-ak","Sustainability Studies","3033","sustainability-studies"
"05000US02090","Fairbanks North Star Borough, AK",2019,"2019",0,"fairbanks-north-star-borough-ak","Sustainability Studies","3033","sustainability-studies"
"05000US04005","Coconino County, AZ",2019,"2019",-0.16666666666666666,"coconino-county-az","Sustainability Studies","3033","sustainability-studies"
"05000US04013","Maricopa County, AZ",2019,"2019",-0.7777777777777778,"maricopa-county-az","Sustainability Studies","3033","sustainability-studies"
"05000US04025","Yavapai County, AZ",2019,"2019",-0.5,"yavapai-county-az","Sustainability Studies","3033","sustainability-studies"
"05000US05143","Washington County, AR",2019,"2019",-0.5,"washington-county-ar","Sustainability Studies","3033","sustainability-studies"
"05000US06001","Alameda County, CA",2019,"2019",2.3333333333333335,"alameda-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06037","Los Angeles County, CA",2019,"2019",0,"los-angeles-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06065","Riverside County, CA",2019,"2019",0.5416666666666666,"riverside-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06073","San Diego County, CA",2019,"2019",-0.8,"san-diego-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06075","San Francisco County, CA",2019,"2019",-0.25609756097560976,"san-francisco-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06085","Santa Clara County, CA",2019,"2019",1.5,"santa-clara-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US06113","Yolo County, CA",2019,"2019",-1,"yolo-county-ca","Sustainability Studies","3033","sustainability-studies"
"05000US08031","Denver County, CO",2019,"2019",1.2,"denver-county-co","Sustainability Studies","3033","sustainability-studies"
"05000US08045","Garfield County, CO",2019,"2019",0,"garfield-county-co","Sustainability Studies","3033","sustainability-studies"
"05000US08069","Larimer County, CO",2019,"2019",1,"larimer-county-co","Sustainability Studies","3033","sustainability-studies"
"05000US08077","Mesa County, CO",2019,"2019",4.5,"mesa-county-co","Sustainability Studies","3033","sustainability-studies"
"05000US08123","Weld County, CO",2019,"2019",0.8,"weld-county-co","Sustainability Studies","3033","sustainability-studies"
"05000US12001","Alachua County, FL",2019,"2019",0.05970149253731343,"alachua-county-fl","Sustainability Studies","3033","sustainability-studies"
"05000US12009","Brevard County, FL",2019,"2019",-0.3333333333333333,"brevard-county-fl","Sustainability Studies","3033","sustainability-studies"
"05000US12031","Duval County, FL",2019,"2019",-0.42857142857142855,"duval-county-fl","Sustainability Studies","3033","sustainability-studies"
"05000US12057","Hillsborough County, FL",2019,"2019",0.010869565217391304,"hillsborough-county-fl","Sustainability Studies","3033","sustainability-studies"
"05000US12103","Pinellas County, FL",2019,"2019",0.2,"pinellas-county-fl","Sustainability Studies","3033","sustainability-studies"
"05000US13051","Chatham County, GA",2019,"2019",-0.23076923076923078,"chatham-county-ga","Sustainability Studies","3033","sustainability-studies"
"05000US13059","Clarke County, GA",2019,"2019",1.4782608695652173,"clarke-county-ga","Sustainability Studies","3033","sustainability-studies"
"05000US13257","Stephens County, GA",2019,"2019",0.6666666666666666,"stephens-county-ga","Sustainability Studies","3033","sustainability-studies"
"05000US15003","Honolulu County, HI",2019,"2019",0.4166666666666667,"honolulu-county-hi","Sustainability Studies","3033","sustainability-studies"
"05000US15007","Kauai County, HI",2019,"2019",-0.6666666666666666,"kauai-county-hi","Sustainability Studies","3033","sustainability-studies"
"05000US15009","Maui County, HI",2019,"2019",0.4,"maui-county-hi","Sustainability Studies","3033","sustainability-studies"
"05000US17031","Cook County, IL",2019,"2019",0.5384615384615384,"cook-county-il","Sustainability Studies","3033","sustainability-studies"
"05000US17089","Kane County, IL",2019,"2019",-0.5,"kane-county-il","Sustainability Studies","3033","sustainability-studies"
"05000US18097","Marion County, IN",2019,"2019",-0.5,"marion-county-in","Sustainability Studies","3033","sustainability-studies"
"05000US18141","St. Joseph County, IN",2019,"2019",-0.6666666666666666,"st-joseph-county-in","Sustainability Studies","3033","sustainability-studies"
"05000US19101","Jefferson County, IA",2019,"2019",-0.2727272727272727,"jefferson-county-ia","Sustainability Studies","3033","sustainability-studies"
"05000US19103","Johnson County, IA",2019,"2019",0.4262295081967213,"johnson-county-ia","Sustainability Studies","3033","sustainability-studies"
"05000US20161","Riley County, KS",2019,"2019",-0.25,"riley-county-ks","Sustainability Studies","3033","sustainability-studies"
"05000US21227","Warren County, KY",2019,"2019",0,"warren-county-ky","Sustainability Studies","3033","sustainability-studies"
"05000US23005","Cumberland County, ME",2019,"2019",1,"cumberland-county-me","Sustainability Studies","3033","sustainability-studies"
"05000US23027","Waldo County, ME",2019,"2019",-0.2,"waldo-county-me","Sustainability Studies","3033","sustainability-studies"
"05000US24510","Baltimore city, MD",2019,"2019",-0.5,"baltimore-city-md","Sustainability Studies","3033","sustainability-studies"
"05000US25013","Hampden County, MA",2019,"2019",0.5,"hampden-county-ma","Sustainability Studies","3033","sustainability-studies"
"05000US25015","Hampshire County, MA",2019,"2019",0,"hampshire-county-ma","Sustainability Studies","3033","sustainability-studies"
"05000US25017","Middlesex County, MA",2019,"2019",1.1111111111111112,"middlesex-county-ma","Sustainability Studies","3033","sustainability-studies"
"05000US25025","Suffolk County, MA",2019,"2019",-0.5,"suffolk-county-ma","Sustainability Studies","3033","sustainability-studies"
"05000US25027","Worcester County, MA",2019,"2019",2,"worcester-county-ma","Sustainability Studies","3033","sustainability-studies"
